
--------------------------------------------------

Barrel_Shifter_16_Bit - Test

--------------------------------------------------


--------------------------------------------------

All Operations

--------------------------------------------------


--------------------------------------------------

[          20.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x5e81 , Shifted_Data_Out = 0xzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[          40.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0x5663 , Shifted_Data_Out = 0x5663 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x5663 , tb_Carry_Out = 0x0 , Is_Same = 1
[          60.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x998d , Shifted_Data_Out = 0x331a , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x331a , tb_Carry_Out = 0x0 , Is_Same = 1
[          80.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x5212 , Shifted_Data_Out = 0x4848 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x4848 , tb_Carry_Out = 0x0 , Is_Same = 1
[         100.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0xcd0d , Shifted_Data_Out = 0x6868 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x6868 , tb_Carry_Out = 0x0 , Is_Same = 1
[         120.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0xcd3d , Shifted_Data_Out = 0xcd3d , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xcd3d , tb_Carry_Out = 0x0 , Is_Same = 1
[         140.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0xf78c , Shifted_Data_Out = 0xef18 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xef18 , tb_Carry_Out = 0x0 , Is_Same = 1
[         160.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x24c6 , Shifted_Data_Out = 0x9318 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x9318 , tb_Carry_Out = 0x0 , Is_Same = 1
[         180.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0xd2aa , Shifted_Data_Out = 0x9550 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x9550 , tb_Carry_Out = 0x0 , Is_Same = 1
[         200.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0x7277 , Shifted_Data_Out = 0x7277 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x7277 , tb_Carry_Out = 0x0 , Is_Same = 1
[         220.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0xdb8f , Shifted_Data_Out = 0xb71e , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xb71e , tb_Carry_Out = 0x0 , Is_Same = 1
