
--------------------------------------------------

Barrel_Shifter_32_Bit - Test

--------------------------------------------------


--------------------------------------------------

All Operations

--------------------------------------------------


--------------------------------------------------

[          20.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0xc0895e81 , Shifted_Data_Out = 0xzzzzzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzzzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[          40.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0xb1f05663 , Shifted_Data_Out = 0xb1f05663 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xb1f05663 , tb_Carry_Out = 0x0 , Is_Same = 1
[          60.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x46df998d , Shifted_Data_Out = 0x8dbf331a , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x8dbf331a , tb_Carry_Out = 0x0 , Is_Same = 1
[          80.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x89375212 , Shifted_Data_Out = 0x24dd4848 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x24dd4848 , tb_Carry_Out = 0x0 , Is_Same = 1
[         100.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0x06d7cd0d , Shifted_Data_Out = 0x36be6868 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x36be6868 , tb_Carry_Out = 0x0 , Is_Same = 1
[         120.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0x1e8dcd3d , Shifted_Data_Out = 0x1e8dcd3d , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x1e8dcd3d , tb_Carry_Out = 0x0 , Is_Same = 1
[         140.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x462df78c , Shifted_Data_Out = 0x8c5bef18 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x8c5bef18 , tb_Carry_Out = 0x0 , Is_Same = 1
[         160.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0xe33724c6 , Shifted_Data_Out = 0x8cdc9318 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x8cdc9318 , tb_Carry_Out = 0x0 , Is_Same = 1
[         180.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0xd513d2aa , Shifted_Data_Out = 0xa89e9550 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xa89e9550 , tb_Carry_Out = 0x0 , Is_Same = 1
[         200.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0xbbd27277 , Shifted_Data_Out = 0xbbd27277 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xbbd27277 , tb_Carry_Out = 0x0 , Is_Same = 1
[         220.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0x47ecdb8f , Shifted_Data_Out = 0x8fd9b71e , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x8fd9b71e , tb_Carry_Out = 0x0 , Is_Same = 1
